City,Avg_Maximum_Temperature,Avg_Minimum_Temperature,Monthly
Ahmedabad,303.5863037,301.8346863,08-2014
Bangalore,297.5870972,296.5080566,08-2014
Bhopal,299.682251,299.2903137,08-2014
Bhubaneswar,297.1653137,297.1653137,08-2014
Chennai,301.92099,301.92099,08-2014
Delhi,305.2104797,305.2104797,08-2014
Hyderabad,297.8354797,297.7403259,08-2014
Jaipur,303.3500061,303.3500061,08-2014
Kolkata,301.3596802,299.5870972,08-2014
Mumbai,298.5249939,298.5249939,08-2014
Pune,298.5249939,298.5249939,08-2014
Ahmedabad,303.7108459,301.8791809,09-2014
Bangalore,297.4691772,296.4741821,09-2014
Bhopal,298.6691589,297.5641785,09-2014
Bhubaneswar,296.3833313,296.3833313,09-2014
Chennai,301.6199951,301.6199951,09-2014
Delhi,302.2891846,302.2891846,09-2014
Hyderabad,297.3416748,297.1483459,09-2014
Jaipur,300.8608398,300.8608398,09-2014
Kolkata,300.8091736,299.0908508,09-2014
Mumbai,298.4683228,298.4683228,09-2014
Pune,298.4683228,298.4683228,09-2014
Ahmedabad,304.5338745,303.5725708,10-2014
Bangalore,297.9121094,297.7451477,10-2014
Bhopal,301.0209656,299.3774109,10-2014
Bhubaneswar,295.6895142,295.6895142,10-2014
Chennai,301.3467712,301.3467712,10-2014
Delhi,298.9709778,298.9709778,10-2014
Hyderabad,298.7661438,298.2112732,10-2014
Jaipur,300.147583,300.147583,10-2014
Kolkata,299.0725708,298.4903259,10-2014
Mumbai,301.2096863,301.2096863,10-2014
Pune,301.2096863,301.2096863,10-2014
Ahmedabad,300.5074768,299.3516541,11-2014
Bangalore,297.2724915,295.7558289,11-2014
Bhopal,297.3199768,295.3299866,11-2014
Bhubaneswar,293.9558105,293.9558105,11-2014
Chennai,298.9424744,298.9424744,11-2014
Delhi,294.8374939,294.8374939,11-2014
Hyderabad,296.3775024,295.9216614,11-2014
Jaipur,295.0058289,295.0058289,11-2014
Kolkata,297.4024963,296.875824,11-2014
Mumbai,300.1758118,300.1758118,11-2014
Pune,300.1758118,300.1758118,11-2014
Ahmedabad,293.5338745,291.8007813,12-2014
Bangalore,296.5459595,294.6403198,12-2014
Bhopal,290.851593,290.0532227,12-2014
Bhubaneswar,291.2999878,291.2999878,12-2014
Chennai,297.1870728,297.1870728,12-2014
Delhi,290.2080383,290.2080383,12-2014
Hyderabad,294.2749939,293.0459595,12-2014
Jaipur,289.5249939,289.5249939,12-2014
Kolkata,294.8040161,294.1072388,12-2014
Mumbai,296.8822327,296.8822327,12-2014
